date,doc_tone,base_rate
2014-10-15,-0.8482758620689655,2.0
2014-11-13,-0.6756756756756757,2.0
2014-12-11,-0.7647058823529411,2.0
2015-01-15,-0.6551724137931034,2.0
2015-02-17,-0.8125,2.0
2015-03-12,-0.875,1.75
2015-04-09,-0.8928571428571429,1.75
2015-05-15,-0.8769230769230769,1.75
2015-06-11,-0.8461538461538461,1.5
2015-07-09,-0.8333333333333334,1.5
2015-08-13,-0.8867924528301887,1.5
2015-09-11,-0.7876106194690266,1.5
2015-10-15,-0.8571428571428571,1.5
2015-11-12,-0.6694214876033058,1.5
2015-12-10,-0.82,1.5
2016-01-14,-0.8787878787878788,1.5
2016-02-16,-0.923809523809524,1.5
2016-03-10,-0.8181818181818182,1.5
2016-04-19,-0.8320610687022901,1.5
2016-05-13,-0.8604651162790697,1.5
2016-06-09,-0.717391304347826,1.25
2016-07-14,-0.8058252427184466,1.25
2016-08-11,-0.7777777777777778,1.25
2016-09-09,-0.7560975609756098,1.25
2016-10-13,-0.8734177215189873,1.25
2016-11-11,-0.8736842105263158,1.25
2016-12-15,-0.7659574468085106,1.25
2017-01-13,-0.5692307692307692,1.25
2017-02-23,-0.7111111111111111,1.25
2017-04-13,-0.8165137614678899,1.25
2017-05-25,-0.8,1.25
2017-07-13,-0.7647058823529411,1.25
2017-08-31,-0.7647058823529411,1.25
2017-10-19,-0.6410256410256411,1.25
2017-11-30,-0.7377049180327869,1.5
2018-02-27,-0.8591549295774648,1.5
2018-04-12,-0.7894736842105263,1.5
2018-05-24,-0.8,1.5
2018-07-12,-0.7831325301204819,1.5
2018-08-31,-0.6783216783216783,1.5
2018-10-18,-0.7659574468085106,1.5
2018-11-30,-0.6666666666666666,1.75
2019-01-24,-0.9032258064516128,1.75
2019-04-18,-0.7142857142857143,1.75
2019-07-18,-0.9375,1.5
2019-08-30,-0.9080459770114944,1.5
2019-10-16,-0.797979797979798,1.25
2019-11-29,-0.956043956043956,1.25
2020-01-17,-0.5942028985507246,1.25
2020-02-27,-0.9076923076923076,1.25
2020-04-09,-0.9302325581395348,0.75
2020-05-28,-0.7913043478260869,0.5
2020-07-16,-0.8769230769230769,0.5
2020-08-27,-0.8198198198198198,0.5
2020-10-14,-0.7021276595744681,0.5
2020-11-26,-0.8571428571428571,0.5
2021-02-25,-0.6756756756756757,0.5
2021-04-15,-0.8823529411764706,0.5
2021-05-27,-0.7358490566037735,0.5
2021-07-15,-0.7959183673469388,0.5
2021-08-26,-0.8053097345132744,0.75
2021-10-12,-0.6363636363636364,0.75
2021-11-25,-0.6460176991150443,1.0
2022-01-14,-0.6941176470588235,1.25
2022-02-24,-0.673469387755102,1.25
2022-04-14,-0.813953488372093,1.5
2022-05-26,-0.8444444444444444,1.75
2022-07-13,-0.8133333333333334,2.25
2022-08-25,-0.7241379310344828,2.5
2022-10-12,-0.7938144329896907,3.0
2022-11-24,-0.7821782178217822,3.25
2023-01-13,-0.7575757575757576,3.5
2023-02-23,-0.8181818181818182,3.5
2023-04-11,-0.5733333333333334,3.5
2023-05-25,-0.6144578313253012,3.5
2023-07-13,-0.6363636363636364,3.5
2023-08-24,-0.5903614457831325,3.5
2023-10-19,-0.654320987654321,3.5
2023-11-30,-0.492063492063492,3.5
2024-01-11,-0.4098360655737705,3.5
2024-02-22,-0.375,3.5
2024-04-12,-0.3478260869565217,3.5
2024-05-23,-0.7117117117117117,3.5
